year,motor,running,wheel,color,car_type,status,motor_volume,price
2022,Բենզին,3000  կմ,Ձախ,Երկնագույն,Սեդան,Գերազանց,2.0,24500
2014,Բենզին,132000  կմ,Ձախ,Սև,Սեդան,Գերազանց,2.0,25500
2018,Բենզին,95000  մղոն,Ձախ,Այլ գույն,Սեդան,Գերազանց,2.0,11700
2002,Բենզին,137000  մղոն,Ձախ,Ոսկեգույն,Սեդան,Գերազանց,3.2,12000
2017,Բենզին,130000  կմ,Ձախ,Սև,Սեդան,Լավ,2.0,26000
2001,Բենզին,286293  կմ,Ձախ,Կապույտ,Սեդան,Լավ,1.8,6000
2019,Բենզին,49000  մղոն,Ձախ,Մոխրագույն,Ամենագնաց,Գերազանց,2.0,23200
2018,Բենզին,70000  մղոն,Ձախ,Արծաթագույն,Ամենագնաց,Գերազանց,2.5,19800
2019,Բենզին,85000  կմ,Ձախ,Սև,Սեդան,Գերազանց,2.0,7000
2021,Բենզին,58000  մղոն,Ձախ,Արծաթագույն,Սեդան,Վթարված,2.0,13900
2018,Բենզին,50000  մղոն,Ձախ,Սև,Ամենագնաց,Գերազանց,2.5,18500
2016,Բենզին,135800  կմ,Ձախ,Արծաթագույն,Ամենագնաց,Գերազանց,2.0,16800
2007,Բենզին,191000  կմ,Ձախ,Արծաթագույն,Սեդան,Լավ,2.5,7800
2018,Բենզին,220000  կմ,Ձախ,Արծաթագույն,Սեդան,Գերազանց,2.0,14300
2019,Բենզին,38100  մղոն,Ձախ,Սև,Սեդան,Գերազանց,2.0,15300
2018,Բենզին,102000  մղոն,Ձախ,Սպիտակ,Ունիվերսալ,Լավ,2.0,16900
2018,Բենզին,126000  կմ,Ձախ,Սպիտակ,Սեդան,Գերազանց,1.6,14300
2017,Գազ,98000  կմ,Ձախ,Սպիտակ,Սեդան,Գերազանց,2.0,17500
2017,Բենզին,60000  մղոն,Ձախ,Սպիտակ,Սեդան,Գերազանց,2.0,15500
2017,Բենզին,99000  կմ,Ձախ,Սպիտակ,Սեդան,Գերազանց,1.6,22000
2011,Բենզին,230000  կմ,Ձախ,Մոխրագույն,Սեդան,Գերազանց,2.0,12700
